Postal Code,Date,Hour,Type,Price-Plan (Not Important),Total Consumption (kWh),Premise Count (Not Important)
M5S,1/1/2020,1,Residential,TOU,3907.5,5760
M5S,1/1/2020,2,Residential,TOU,3822.9,5760
M5S,1/1/2020,3,Residential,TOU,3636.1,5760
M5S,1/1/2020,4,Residential,TOU,3505.1,5760
M5S,1/1/2020,5,Residential,TOU,3427.1,5760
M5S,1/1/2020,6,Residential,TOU,3385.0,5760
M5S,1/1/2020,7,Residential,TOU,3398.6,5760
M5S,1/1/2020,8,Residential,TOU,3439.0,5760
M5S,1/1/2020,9,Residential,TOU,3603.0,5760
M5S,1/1/2020,10,Residential,TOU,3782.4,5760
M5S,1/1/2020,11,Residential,TOU,4049.7,5760
M5S,1/1/2020,12,Residential,TOU,4278.2,5760
M5S,1/1/2020,13,Residential,TOU,4525.0,5760
M5S,1/1/2020,14,Residential,TOU,4609.3,5760
M5S,1/1/2020,15,Residential,TOU,4603.0,5760
M5S,1/1/2020,16,Residential,TOU,4493.6,5760
M5S,1/1/2020,17,Residential,TOU,4616.7,5760
M5S,1/1/2020,18,Residential,TOU,5173.6,5760
M5S,1/1/2020,19,Residential,TOU,5366.5,5760
M5S,1/1/2020,20,Residential,TOU,5290.7,5760
M5S,1/1/2020,21,Residential,TOU,5189.7,5760
M5S,1/1/2020,22,Residential,TOU,5025.2,5760
M5S,1/1/2020,23,Residential,TOU,4730.9,5760
M5S,1/1/2020,24,Residential,TOU,4319.3,5760
M5S,1/2/2020,1,Residential,TOU,3898.9,5760
M5S,1/2/2020,2,Residential,TOU,3641.5,5760
M5S,1/2/2020,3,Residential,TOU,3434.4,5760
M5S,1/2/2020,4,Residential,TOU,3277.6,5760
M5S,1/2/2020,5,Residential,TOU,3183.0,5760
M5S,1/2/2020,6,Residential,TOU,3227.3,5760
M5S,1/2/2020,7,Residential,TOU,3306.7,5760
M5S,1/2/2020,8,Residential,TOU,3560.3,5760
M5S,1/2/2020,9,Residential,TOU,3818.1,5760
M5S,1/2/2020,10,Residential,TOU,3874.2,5760
M5S,1/2/2020,11,Residential,TOU,3978.3,5760
M5S,1/2/2020,12,Residential,TOU,4158.5,5760
M5S,1/2/2020,13,Residential,TOU,4100.4,5760
M5S,1/2/2020,14,Residential,TOU,4128.4,5760
M5S,1/2/2020,15,Residential,TOU,4063.3,5760
M5S,1/2/2020,16,Residential,TOU,4004.4,5760
M5S,1/2/2020,17,Residential,TOU,4271.8,5760
M5S,1/2/2020,18,Residential,TOU,4694.4,5760
M5S,1/2/2020,19,Residential,TOU,4981.3,5760
M5S,1/2/2020,20,Residential,TOU,5058.9,5760
M5S,1/2/2020,21,Residential,TOU,4914.2,5760
M5S,1/2/2020,22,Residential,TOU,4778.4,5760
M5S,1/2/2020,23,Residential,TOU,4537.4,5760
M5S,1/2/2020,24,Residential,TOU,4162.5,5760
M5S,1/3/2020,1,Residential,TOU,3772.4,5760
